== pragma modification records 2026-05-22T22:24:34 ==
[pragma-record] file=datasets/reentrancy/dependency/0x013f7a6b98010e85fd4c8887d30f48c409b5643d.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x01d28329619796bae733e849696f80a764422700.sol original=^0.4.15 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x01d6208f95cf2292c350fc8bb1b1f29230352675.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x020ddc98365d0199b4c7a2d769d685480789f67e.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0267ee183beebdb7f931afe41e4e25352195b871.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x02c11f38bec96eb38c4dc2bcc8d669ae676fd7a9.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x02cb5958a36145efbacb99fac2614657bf20d4e8.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x02f61fd266da6e8b102d4121f5ce7b992640cf98.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x031b042210b3f22f4aecfc75dc317f1e2c96b98c.sol original=^0.4.9 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x031e8de47dee0fdde1969a93b64bb8f8fbcba65d.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0333a8c69858382840ea4980d5550fcc632342f0.sol original=^0.4.20 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x04c2f74f7ce126ecbf39a89d8179f228dafbc500.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0cddd3191b99127f7014195a6f2cb71d0c4077a6.sol original=^0.4.1 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0ce95ef378059f38c5fa21e6d81a5895c0d9911b.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0d49b24f068a9a3ef60576c7a915ffd6844d6fdd.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0d61178ce25bf05c5b19dc56f30e0f10cbbe9f2b.sol original=^0.4.20 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0e54b1b8ff833b5f2b0d17453d97d340cb7576e4.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0e6457a564fd6780b5a8512707a46c43f3a49ffc.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0f00f1696218eaefa2d2330df3d6d1f94813b38f.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0f5ee401de162cd163b6ff46318eef2727dbb9fc.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x17b031b3802789a458955b3d27c60a0379f187b4.sol original=^0.4.0 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x2682e3ad5358932ac5cd8f8616912cec76ad680c.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x29880855d419c6fa0e8c7fdfd985c80f286d914e.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x3400696045f706f3309927cb8fdf63f07b616c6f.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x3420894bf786866a09937b0369d5b4781870c21f.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x37e343f2cc245754595f1ae3656b460c35d636fb.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x39e8082b00c9f19ebf553e40feb7cf8459acc693.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x39f996a2cafca0e593d0c46b8365d3936b6cc1cf.sol original=^0.4.17 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x3a715f7ee68d8d7b105f9cabd972f76cb8ea0710.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x416e18790790edb098cb17a7d490caa1262f5772.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x430e87a95a421437ccaa0af644ac57e22914b07a.sol original=^0.4.3 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x447b4ccab1b370afbe5ae2e68c0b700be913a585.sol original=^0.4.20 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x45afe0ff6a92bc9f346fc440a9d2a881d42094ff.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x4b96bf1fef93a216914fc843d81207a027ce52b3.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0xf64196754b5548eef6bfcc434465c0d218309914.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0x470142a1834438515b757118f322703aba6e1e05.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf3bfe4b73faa6393f84f59354ebd71b1c4db53fc.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf3c8ed6c721774c022c530e813a369dfe78a6e85.sol original=^0.4.2 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf449ef0007c98761bdfced7ab1d0351f71d30468.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf4ac7eccd66a282920c131f96e716e3457120e03.sol original=^0.4.4 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf4bc01f1de29385ad2d3cbc4d5cc7ab67d2091fc.sol original=^0.4.4 fixed=0.4.24
[pragma-record][summary] total=43
[ok] datasets/reentrancy/dependency/0x0000000000b3f879cb30fe243b4dfee438691c04.sol: nodes=26, edges=40, label=1
[ok] datasets/reentrancy/dependency/0x000000002bb43c83ece652d161ad0fa862129a2c.sol: nodes=79, edges=150, label=1
[ok] datasets/reentrancy/dependency/0x0111ac7e9425c891f935c4ce54cf16db7c14b7db.sol: nodes=151, edges=167, label=1
[ok] datasets/reentrancy/dependency/0x0114289efe38186b732d12c07a1ce4341e266513.sol: nodes=68, edges=111, label=1
[ok] datasets/reentrancy/dependency/0x012bc399c3e8b75a506c9ff2b7ad413641f33102.sol: nodes=30, edges=32, label=1
[ok] datasets/reentrancy/dependency/0x013f7a6b98010e85fd4c8887d30f48c409b5643d.sol: nodes=165, edges=131, label=1
[ok] datasets/reentrancy/dependency/0x0193cba9762dfe203a34bd895d0ddf4d876e0f98.sol: nodes=46, edges=61, label=1
[ok] datasets/reentrancy/dependency/0x019e41a2acdffafc0303e840fbd7934234e68f45.sol: nodes=29, edges=31, label=1
[ok] datasets/reentrancy/dependency/0x01c627181089b6e10ee8316ec08516b3df7c4845.sol: nodes=138, edges=250, label=1
[ok] datasets/reentrancy/dependency/0x01c91a1b352a2903bc8378e5f645c9bc8685029e.sol: nodes=32, edges=48, label=1
[ok] datasets/reentrancy/dependency/0x01d28329619796bae733e849696f80a764422700.sol: nodes=82, edges=107, label=1
[ok] datasets/reentrancy/dependency/0x01d6208f95cf2292c350fc8bb1b1f29230352675.sol: nodes=67, edges=94, label=1
[ok] datasets/reentrancy/dependency/0x01de9415d1ae14ab755186bea22923afe2934d82.sol: nodes=26, edges=37, label=1
[ok] datasets/reentrancy/dependency/0x01e0f57c42bf976676ea1daa1b04d69aba6bdaf3.sol: nodes=14, edges=14, label=1
[ok] datasets/reentrancy/dependency/0x01e6a8af629cc06ff37755a61d9e7dd1135d8c6a.sol: nodes=106, edges=146, label=1
[ok] datasets/reentrancy/dependency/0x01eacc3ae59ee7fbbc191d63e8e1ccfdac11628c.sol: nodes=39, edges=89, label=1
[ok] datasets/reentrancy/dependency/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol: nodes=13, edges=19, label=1
[ok] datasets/reentrancy/dependency/0x020ddc98365d0199b4c7a2d769d685480789f67e.sol: nodes=46, edges=49, label=1
[ok] datasets/reentrancy/dependency/0x02242d41c54f261a85ac8e8efa7046a3dfd53113.sol: nodes=10, edges=15, label=1
[ok] datasets/reentrancy/dependency/0x025dce2d39a46296766db7cac8c322e8f59cd5d9.sol: nodes=27, edges=49, label=1
[ok] datasets/reentrancy/dependency/0x0267ee183beebdb7f931afe41e4e25352195b871.sol: nodes=100, edges=148, label=1
[ok] datasets/reentrancy/dependency/0x0297fdbcb9c2023bc05ad44c9f6e69b0ae6261ce.sol: nodes=11, edges=12, label=1
[ok] datasets/reentrancy/dependency/0x02c11f38bec96eb38c4dc2bcc8d669ae676fd7a9.sol: nodes=25, edges=42, label=1
[ok] datasets/reentrancy/dependency/0x02cb5958a36145efbacb99fac2614657bf20d4e8.sol: nodes=31, edges=24, label=1
[ok] datasets/reentrancy/dependency/0x02d3aea48b443a0026ed9cbc91b97d7335aba323.sol: nodes=52, edges=98, label=1
[ok] datasets/reentrancy/dependency/0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d.sol: nodes=10, edges=15, label=1
[ok] datasets/reentrancy/dependency/0x02f61fd266da6e8b102d4121f5ce7b992640cf98.sol: nodes=73, edges=134, label=1
[ok] datasets/reentrancy/dependency/0x0317ada015cf35244b9f9c7d1f8f05c3651833ff.sol: nodes=59, edges=96, label=1
[ok] datasets/reentrancy/dependency/0x031b042210b3f22f4aecfc75dc317f1e2c96b98c.sol: nodes=27, edges=38, label=1
[ok] datasets/reentrancy/dependency/0x031e8de47dee0fdde1969a93b64bb8f8fbcba65d.sol: nodes=19, edges=26, label=1
[ok] datasets/reentrancy/dependency/0x0333a8c69858382840ea4980d5550fcc632342f0.sol: nodes=51, edges=69, label=1
[ok] datasets/reentrancy/dependency/0x03358425ada4620246dd703dc1f2246b8e148d22.sol: nodes=28, edges=28, label=1
[ok] datasets/reentrancy/dependency/0x0356e14c2f8de339131c668c1747def594467a9a.sol: nodes=15, edges=14, label=1
[ok] datasets/reentrancy/dependency/0x038ee87d74a14adf58eb71075ec9a0910fde353b.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x046ec9bb312c51425f7a00b2ab7525afe7db52e6.sol: nodes=57, edges=80, label=1
[ok] datasets/reentrancy/dependency/0x04c2f74f7ce126ecbf39a89d8179f228dafbc500.sol: nodes=19, edges=26, label=1
[ok] datasets/reentrancy/dependency/0x065313f29dc4a4b8b5fc4915059d122065519957.sol: nodes=16, edges=12, label=1
[ok] datasets/reentrancy/dependency/0x065d6fccf3bcc50e37e875479511f5ca656b98d8.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x0692de52a966c107021e8a84db8486b4be57ecf1.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x089a6d83282fb8988a656189f1e7a73fa6c1cac2.sol: nodes=77, edges=71, label=1
[ok] datasets/reentrancy/dependency/0x0cddd3191b99127f7014195a6f2cb71d0c4077a6.sol: nodes=106, edges=179, label=1
[ok] datasets/reentrancy/dependency/0x0ce95ef378059f38c5fa21e6d81a5895c0d9911b.sol: nodes=102, edges=295, label=1
[ok] datasets/reentrancy/dependency/0x0d3456099d32e297805c5b07d9bc0b0b579206e1.sol: nodes=114, edges=166, label=1
[ok] datasets/reentrancy/dependency/0x0d49b24f068a9a3ef60576c7a915ffd6844d6fdd.sol: nodes=28, edges=32, label=1
[ok] datasets/reentrancy/dependency/0x0d5d4c289133ebf3eb685c183a930c1ee2ea4a4f.sol: nodes=10, edges=15, label=1
[ok] datasets/reentrancy/dependency/0x0d5eae179709e92b3bff65731158e8291c49eafb.sol: nodes=37, edges=36, label=1
[ok] datasets/reentrancy/dependency/0x0d61178ce25bf05c5b19dc56f30e0f10cbbe9f2b.sol: nodes=33, edges=45, label=1
[ok] datasets/reentrancy/dependency/0x0d853d20b54b8abfacb05fc5e81e8d4395021c01.sol: nodes=55, edges=98, label=1
[ok] datasets/reentrancy/dependency/0x0d88ed6e74bbfd96b831231638b66c05571e824f.sol: nodes=72, edges=57, label=1
[ok] datasets/reentrancy/dependency/0x0da29f924c83b623ea25aa95eedcba060b8d7e12.sol: nodes=28, edges=37, label=1
